sibid,childid,round,theta_eap,ppvt_score,yc,country,group,language
4,ET020008,3,1.293380022,3.913138151,1,1,4,1
15,ET020011,3,0.491834015,2.624964952,1,1,4,1
15,ET020011,4,0.974602997,3.400828123,1,1,5,1
15,ET020011,5,1.81885004,4.75762701,1,1,6,1
9,ET020013,3,0.713051975,2.980486631,1,1,4,1
16,ET020014,4,0.429091007,2.524129868,1,1,5,1
16,ET020014,5,1.065050006,3.546186686,1,1,6,1
3,ET020015,3,0.25305301,2.241217375,1,1,4,1
3,ET020015,4,0.585416973,2.775363207,1,1,5,1
3,ET020015,5,0.819185972,3.151055813,1,1,6,1
4,ET020020,3,0.443275988,2.546926737,1,1,4,1
3,ET020022,3,-2.121459961,-1.574888229,1,1,4,1
3,ET020022,4,-0.216994002,1.48579967,1,1,5,1
3,ET020022,5,0.859185994,3.215340376,1,1,6,1
9,ET020028,3,-0.821488023,0.514310777,1,1,4,1
9,ET020028,4,0.617865026,2.827510834,1,1,5,1
9,ET020028,5,1.622320056,4.441781521,1,1,6,1
15,ET020035,3,0.314334005,2.339702845,1,1,4,1
15,ET020035,4,1.044199944,3.512678146,1,1,5,1
15,ET020035,5,2.199609995,5.369550228,1,1,6,1
6,ET020042,3,-2.610800028,-2.361311913,1,1,4,1
6,ET020042,4,0.240739003,2.221427441,1,1,5,1
6,ET020042,5,1.35247004,4.008102417,1,1,6,1
15,ET020046,3,0.949409008,3.360338688,1,1,4,1
15,ET020046,4,1.433500051,4.138326645,1,1,5,1
15,ET020046,5,1.743849993,4.637093544,1,1,6,1
15,ET020047,3,1.741559982,4.633413315,1,1,4,1
15,ET020047,4,1.44374001,4.154783249,1,1,5,1
15,ET020047,5,1.89320004,4.877115726,1,1,6,1
15,ET020049,3,0.589318991,2.781634092,1,1,4,1
15,ET020049,4,1.121060014,3.636200905,1,1,5,1
15,ET020049,5,1.274510026,3.882812023,1,1,6,1
3,ET020050,3,-0.583648026,0.896546066,1,1,4,1
3,ET020050,4,0.508508027,2.651762009,1,1,5,1
3,ET020050,5,0.682217002,2.930931568,1,1,6,1
4,ET020053,3,1.366459966,4.030585766,1,1,4,1
3,ET020054,4,-0.231446996,1.462572217,1,1,5,1
4,ET020055,3,0.88280803,3.253303528,1,1,4,1
3,ET020056,3,-2.284149885,-1.83634901,1,1,4,1
3,ET020056,4,0.554428995,2.725562096,1,1,5,1
3,ET020056,5,0.953189015,3.366413593,1,1,6,1
3,ET020058,3,0.965964973,3.386945963,1,1,4,1
3,ET020058,4,0.852222979,3.204149961,1,1,5,1
3,ET020058,5,1.482609987,4.217251778,1,1,6,1
3,ET020059,3,-0.597831011,0.873752415,1,1,4,1
3,ET020059,4,0.618452013,2.828454018,1,1,5,1
3,ET020059,5,0.776609004,3.082629919,1,1,6,1
5,ET020060,3,0.564078987,2.741070747,1,1,4,1
