childid,country,round,yc,math,group
ET101013,1,2,0,406.0496216,1
ET101014,1,2,0,652.2161255,1
ET101015,1,2,0,361.1126404,1
ET101016,1,2,0,556.5656128,1
ET101017,1,2,0,430.4137878,1
ET101018,1,2,0,244.2851868,1
ET101019,1,2,0,459.7278137,1
ET101020,1,2,0,473.7701111,1
ET101021,1,2,0,431.6198425,1
ET101022,1,2,0,295.6836243,1
ET101023,1,2,0,429.1794434,1
ET101024,1,2,0,377.5506287,1
ET101025,1,2,0,561.0690308,1
ET101027,1,2,0,482.7003479,1
ET101028,1,2,0,388.9204712,1
ET101030,1,2,0,403.311615,1
ET101031,1,2,0,370.6601563,1
ET101032,1,2,0,401.5641479,1
ET101033,1,2,0,634.2728882,1
ET101034,1,2,0,321.1497803,1
ET101035,1,2,0,433.1472168,1
ET101036,1,2,0,536.710144,1
ET101037,1,2,0,339.8240051,1
ET101038,1,2,0,379.3775635,1
ET101039,1,2,0,516.6957397,1
ET101040,1,2,0,401.7610474,1
ET101041,1,2,0,431.5770569,1
ET101042,1,2,0,489.0585327,1
ET101043,1,2,0,409.8181152,1
ET101044,1,2,0,465.2554016,1
ET101045,1,2,0,418.50177,1
ET101046,1,2,0,476.0782471,1
ET101047,1,2,0,542.0914307,1
ET101048,1,2,0,490.4003601,1
ET101049,1,2,0,535.2990112,1
ET101050,1,2,0,344.487793,1
ET111001,1,2,0,426.4536438,1
ET111002,1,2,0,444.8312683,1
ET111003,1,2,0,384.8816223,1
ET111004,1,2,0,383.2443542,1
ET111005,1,2,0,524.3283081,1
ET111006,1,2,0,310.6810913,1
ET111007,1,2,0,446.3191833,1
ET111008,1,2,0,509.0394287,1
ET111009,1,2,0,473.0802307,1
ET111010,1,2,0,421.0123291,1
ET111011,1,2,0,552.6379395,1
ET111012,1,2,0,464.7660522,1
ET111015,1,2,0,392.3771973,1
ET111016,1,2,0,390.1256409,1
ET111017,1,2,0,350.83078,1
ET111018,1,2,0,412.1731873,1
ET111019,1,2,0,299.8647156,1
ET111020,1,2,0,411.3392639,1
ET111021,1,2,0,487.4270935,1
ET111022,1,2,0,495.6726379,1
ET111023,1,2,0,515.8924561,1
ET111024,1,2,0,283.6713867,1
ET111025,1,2,0,380.5631104,1
ET111027,1,2,0,536.8511353,1
ET111028,1,2,0,373.9274597,1
ET111029,1,2,0,613.6602783,1
ET111030,1,2,0,464.7571716,1
ET111031,1,2,0,422.3505859,1
ET111032,1,2,0,440.144043,1
ET111033,1,2,0,384.9856873,1
ET111034,1,2,0,545.9568481,1
ET111035,1,2,0,254.2431793,1
ET111036,1,2,0,371.9769897,1
ET111037,1,2,0,643.9519653,1
ET111038,1,2,0,439.2180481,1
ET111039,1,2,0,377.1815491,1
ET111040,1,2,0,399.372345,1
ET111041,1,2,0,345.3069458,1
ET111042,1,2,0,395.2963257,1
ET111043,1,2,0,427.4940186,1
ET111044,1,2,0,332.3864136,1
ET111045,1,2,0,462.6400452,1
ET111046,1,2,0,467.4532776,1
ET111047,1,2,0,362.097229,1
ET111048,1,2,0,413.3024597,1
ET121001,1,2,0,526.7561035,1
ET121002,1,2,0,514.2489624,1
ET121004,1,2,0,471.5653687,1
ET121005,1,2,0,544.6209717,1
ET121007,1,2,0,514.5007324,1
ET121008,1,2,0,516.192688,1
ET121009,1,2,0,415.0181885,1
ET121010,1,2,0,352.6528625,1
ET121011,1,2,0,448.4424438,1
ET121012,1,2,0,284.6380005,1
ET121013,1,2,0,486.3923035,1
ET121014,1,2,0,266.1255188,1
ET121015,1,2,0,333.0168152,1
ET121017,1,2,0,549.3252563,1
ET121018,1,2,0,490.4753723,1
ET121020,1,2,0,634.1506348,1
ET121021,1,2,0,564.619873,1
ET121022,1,2,0,335.1245728,1
ET121023,1,2,0,408.8287964,1
ET121024,1,2,0,336.5114746,1
ET121025,1,2,0,531.6359863,1
ET121026,1,2,0,330.9536438,1
ET121027,1,2,0,432.6189575,1
