childid,round,yc,theta_eap,read_score,country,group,language
ET051022,4,0,1.188300014,1.549687386,1,3,1
ET051023,4,0,-1.143470049,-1.078236818,1,3,1
ET051024,4,0,0.475475997,0.746328771,1,3,1
ET051025,4,0,1.082909942,1.430911899,1,3,1
ET051026,4,0,0.667792022,0.963070571,1,3,1
ET051027,4,0,0.717565,1.019165158,1,3,1
ET051028,4,0,0.150737002,0.380345255,1,3,1
ET051029,4,0,0.344388992,0.598592639,1,3,1
ET051030,4,0,0.240658,0.48168695,1,3,1
ET051031,4,0,0.042859402,0.258766294,1,3,1
ET051032,4,0,-0.537928998,-0.39578706,1,3,1
ET051033,4,0,-1.053599954,-0.976952493,1,3,1
ET051034,4,0,-2.303129911,-2.385183096,1,3,1
ET051035,4,0,0.555723011,0.836767852,1,3,1
ET051036,4,0,-0.280562013,-0.105732329,1,3,1
ET051038,4,0,0.682599008,0.979758143,1,3,1
ET051039,4,0,-0.620882988,-0.489276886,1,3,1
ET051040,4,0,1.30479002,1.680972576,1,3,1
ET051041,4,0,0.082002103,0.302880436,1,3,1
ET051042,4,0,0.327529013,0.579591334,1,3,1
ET051043,4,0,0.79093802,1.101857066,1,3,1
ET051044,4,0,0.374554008,0.632588863,1,3,1
ET051045,4,0,0.946982026,1.277719975,1,3,1
ET051046,4,0,0.659623027,0.953864038,1,3,1
ET051047,4,0,-0.791095018,-0.681107283,1,3,1
ET051048,4,0,0.081551202,0.302372277,1,3,1
ET051049,4,0,0.493804008,0.766984642,1,3,1
ET051050,4,0,1.04369998,1.386721969,1,3,1
ET061007,4,0,-0.478819996,-0.329170734,1,3,1
ET061011,4,0,-0.177056998,0.010918684,1,3,1
ET061012,4,0,0.0462768,0.262617737,1,3,1
ET061014,4,0,-1.362969995,-1.325615168,1,3,1
ET061015,4,0,-1.567860007,-1.556527853,1,3,1
ET061016,4,0,0.303579986,0.552600563,1,3,1
ET061018,4,0,0.467851013,0.737735391,1,3,1
ET061019,4,0,-0.447694987,-0.294092566,1,3,1
ET061021,4,0,-0.479088992,-0.329473883,1,3,1
ET061023,4,0,-1.258839965,-1.208259702,1,3,1
ET061024,4,0,-0.600127995,-0.465885848,1,3,1
ET061026,4,0,-1.231969953,-1.177976966,1,3,1
ET061027,4,0,-1.674739957,-1.676982522,1,3,1
ET061029,4,0,0.351200014,0.606268704,1,3,1
ET061037,4,0,-1.273949981,-1.225288868,1,3,1
ET061038,4,0,-0.172656,0.015878646,1,3,1
ET061041,4,0,0.865234971,1.185590386,1,3,1
ET061051,4,0,0.611083984,0.899160147,1,3,1
ET061058,4,0,-1.683230042,-1.686550856,1,3,1
